term,HR,HR_lower_95,HR_upper_95,p,E_value
cancer_type_Lymphoma: timing_group_Evening,0.9826254869026584,0.8753382547638294,1.1030625501123534,0.7663722494097002,1.1518248115996257
cancer_type_Gastric Cancer: timing_group_Night,0.8162371892335605,0.694609338669076,0.959162383800476,0.013646867387866406,1.7503192287153153
cancer_type_Gastric Cancer: timing_group_Afternoon,1.0001584691198926,0.8817321125147952,1.1344907927865246,0.9980337457113485,1.0127479183673598
cancer_type_Gastric Cancer: timing_group_Evening,0.9805543535990723,0.8577640925430778,1.1209222310897884,0.7735928725757646,1.1620443510807175
cancer_type_Other Head and Neck Cancer: timing_group_Night,0.6910215166274333,0.5878718474197365,0.8122701206699198,7.4370383417318765e-06,2.251533842102689
cancer_type_Other Head and Neck Cancer: timing_group_Afternoon,0.9097136507288132,0.8037850084410779,1.0296023409635555,0.13410619004311553,1.4295452956383203
cancer_type_Other Head and Neck Cancer: timing_group_Evening,0.9103117742601677,0.797811242549655,1.0386761707047756,0.1626673764647329,1.4275108398913703
cancer_type_Pancreatic Cancer: timing_group_Night,0.7154179144322775,0.6100108967041489,0.839038769726863,3.821641832350125e-05,2.1434497590080657
cancer_type_Pancreatic Cancer: timing_group_Afternoon,0.964532988942253,0.8538082016490197,1.0896169478825297,0.5616214666226635,1.2320230479695977
cancer_type_Pancreatic Cancer: timing_group_Evening,0.9481476707539412,0.8328102315030873,1.0794584066691926,0.42105895044768493,1.2948521661114372
cancer_type_Prostate Cancer: timing_group_Night,0.7561129153444288,0.6193435910620094,0.923084938636931,0.00603031557581374,1.9756959875311937
cancer_type_Prostate Cancer: timing_group_Afternoon,1.0624196065864497,0.9132422216755097,1.2359649977510185,0.4328378876565223,1.3199381765437577
cancer_type_Prostate Cancer: timing_group_Evening,0.9779923274208218,0.830511055467743,1.1516631671511146,0.7896010862262876,1.174191043783364
cancer_type_Soft Tissue Sarcoma: timing_group_Night,0.815578329751642,0.655755573375556,1.0143535777156583,0.06696669859745595,1.7526746239909126
cancer_type_Soft Tissue Sarcoma: timing_group_Afternoon,1.0933106475909262,0.9268106074508216,1.289722153076584,0.2899170456262379,1.412712470605079
cancer_type_Soft Tissue Sarcoma: timing_group_Evening,1.1110262123618608,0.9311841681195394,1.325601622982792,0.24256718618027454,1.462242715666136
cancer_type_Liver Cancer: timing_group_Night,0.8165723480352447,0.6788940547964093,0.9821715109521084,0.03148322844210877,1.7491218616399213
cancer_type_Liver Cancer: timing_group_Afternoon,0.9595754299023392,0.8326063004399329,1.1059068435895025,0.5687898527594153,1.2516562910087425
cancer_type_Liver Cancer: timing_group_Evening,0.9617334031611348,0.8250519138349868,1.1210581094911407,0.6178636371491166,1.2431911944331526
cancer_type_Other: timing_group_Night,0.7848234241006419,0.6783913058782757,0.9079535685081082,0.0011195782139844267,1.865223752798874
cancer_type_Other: timing_group_Afternoon,0.9128319330163704,0.8129724120369289,1.0249574593148096,0.12284771295056585,1.4189275593748285
cancer_type_Other: timing_group_Evening,0.9604982886804999,0.8497221439927268,1.0857160415088178,0.5191785145830123,1.2480505051551207
